13.91,5.08
9.08,5.8
9.26,4.01
6.07,6.12
12.88,9.41
13.6,3.51
15.16,4.8
14.81,8.4
7.37,4.71
13.27,8.24
10.62,6.48
11.22,3.48
12.65,5.87
10.49,7.75
12.23,4.98
16.17,9.41
5.04,4.63
13.73,3.74
16.38,7.32
14.94,6.39
16.0,3.2
6.16,4.49
13.56,3.09
8.73,9.16
11.92,5.88
9.17,5.97
8.3,4.09
10.88,9.07
6.8,7.92
10.26,4.23
9.26,8.47
8.05,4.0
11.69,8.58
9.66,8.49
15.08,9.52
8.18,9.5
12.64,3.15
13.32,7.77
6.99,9.59
11.55,4.89
5.02,7.18
5.18,5.2
13.07,4.42
9.51,7.82
7.52,8.52
6.42,3.08
13.86,3.53
8.01,6.95
3.5,3.06
14.78,5.5
